user_id,sport_name,interaction_date
1,Cricket,2025-03-10
1,Surfing,2025-03-12
1,Calisthenics,2025-03-16
1,Calisthenics,2025-03-17
1,Badminton,2025-03-18
1,Taekwondo,2025-03-19
1,Mountain Biking,2025-03-21
1,Roller Skating,2025-03-26
1,Alpinism,2025-03-31
1,Parkour,2025-04-03
1,Surfing,2025-04-07
1,Cricket,2025-04-09
1,Cheerleading,2025-04-15
1,Cheerleading,2025-04-17
1,Fishing,2025-04-18
1,Judo,2025-04-19
1,Handball,2025-04-25
1,Figure Skating,2025-04-26
1,Paintball,2025-04-27
1,Bungee Jumping,2025-05-03
1,Figure Skating,2025-05-06
1,Grappling,2025-05-09
1,HIIT,2025-05-10
1,Skateboarding,2025-05-12
1,Chess,2025-05-18
1,Jiu-Jitsu,2025-05-19
1,Motorcycle Racing,2025-05-23
1,Kite Sports,2025-05-26
1,Paintball,2025-05-28
2,Disc Sports,2025-03-10
2,Polo,2025-03-26
2,Scuba Diving,2025-03-27
2,Dance,2025-04-13
2,Baseball,2025-04-22
2,Gym,2025-05-02
2,Paragliding,2025-05-03
2,Paragliding,2025-05-13
2,Kayaking,2025-05-25
2,Boomerang,2025-05-30
3,Baseball,2025-03-01
3,Football Tennis,2025-03-02
3,Chess,2025-03-03
3,Figure Skating,2025-03-04
3,Javelin,2025-03-05
3,Gym,2025-03-06
3,Hammer Throw,2025-03-07
3,Athletics,2025-03-08
3,Volleyball,2025-03-09
3,Baseball,2025-03-10
3,Crossfit,2025-03-11
3,Polo,2025-03-12
3,Gun Sports,2025-03-13
3,Fencing,2025-03-14
3,Football,2025-03-15
3,Gliding,2025-03-16
3,Surfing,2025-03-17
3,Bungee Jumping,2025-03-18
3,Roller Skating,2025-03-19
3,Lacrosse,2025-03-20
3,Football,2025-03-21
3,Hang Gliding,2025-03-22
3,Fencing,2025-03-23
3,Parachuting,2025-03-24
3,Basketball,2025-03-25
3,Aerial Silk,2025-03-26
3,Motorcycle Racing,2025-03-27
3,Chess,2025-03-28
3,Baseball,2025-03-29
3,Hammer Throw,2025-03-30
3,Athletics,2025-03-31
3,Sailing,2025-04-01
3,Alpinism,2025-04-02
3,Motorcycle Racing,2025-04-03
3,Hiking,2025-04-04
3,Polo,2025-04-05
3,Gliding,2025-04-06
3,Camping,2025-04-07
3,Wrestling,2025-04-08
3,Surfing,2025-04-09
3,Swimming,2025-04-10
3,Dodgeball,2025-04-11
3,Archery,2025-04-12
3,Football Tennis,2025-04-13
3,HIIT,2025-04-14
3,Gliding,2025-04-15
3,Sumo,2025-04-16
3,Figure Skating,2025-04-17
3,Weightlifting,2025-04-18
3,Horseback Riding,2025-04-19
3,HIIT,2025-04-20
3,Chess,2025-04-21
3,Gliding,2025-04-22
3,Rodeo,2025-04-23
3,Calisthenics,2025-04-24
3,Bungee Jumping,2025-04-25
3,Windsurfing,2025-04-26
3,Roller Skating,2025-04-27
3,Archery,2025-04-28
3,Handball,2025-04-29
3,Hiking,2025-04-30
3,Tag Games,2025-05-01
3,Dodgeball,2025-05-02
3,Cheerleading,2025-05-03
3,Basketball,2025-05-04
3,Snowboarding,2025-05-05
3,Rock Climbing,2025-05-06
3,Athletics,2025-05-07
3,Trampolining,2025-05-08
3,Kayaking,2025-05-09
3,Disc Sports,2025-05-10
3,Boomerang,2025-05-11
3,Cheerleading,2025-05-12
3,Volleyball,2025-05-13
3,Parkour,2025-05-14
3,Karate,2025-05-15
3,Pole Sports,2025-05-16
3,Hiking,2025-05-17
3,Running,2025-05-18
3,Archery,2025-05-19
3,Longball,2025-05-20
3,Camping,2025-05-21
3,Fencing,2025-05-22
3,Golf,2025-05-23
3,Boomerang,2025-05-24
3,Boomerang,2025-05-25
3,Frisbee,2025-05-26
3,Windsurfing,2025-05-27
3,Cheerleading,2025-05-28
3,Aerobatics,2025-05-29
3,Skateboarding,2025-05-30
3,Snowboarding,2025-05-31
4,Handball,2025-03-07
4,Skiing,2025-04-29
4,Ice Skating,2025-05-20
5,Kayaking,2025-03-02
5,Hockey,2025-03-03
5,Longball,2025-03-04
5,Hammer Throw,2025-03-05
5,Pool,2025-03-06
5,Cheerleading,2025-03-07
5,Pool,2025-03-08
5,Handball,2025-03-10
5,Taekwondo,2025-03-12
5,Judo,2025-03-13
5,Windsurfing,2025-03-14
5,Mountain Biking,2025-03-16
5,Cycling,2025-03-18
5,Soccer,2025-03-19
5,Golf,2025-03-20
5,Golf,2025-03-21
5,Archery,2025-03-23
5,Kite Sports,2025-03-25
5,Karate,2025-03-26
5,Boxing,2025-03-27
5,Tag Games,2025-03-28
5,Jiu-Jitsu,2025-03-29
5,Frisbee,2025-03-30
5,Football Tennis,2025-03-31
5,Boomerang,2025-04-01
5,Ice Skating,2025-04-02
5,Polo,2025-04-05
5,Jiu-Jitsu,2025-04-06
5,Camping,2025-04-08
5,Gym,2025-04-10
5,Gymnastics,2025-04-11
5,Table Tennis,2025-04-12
5,Basketball,2025-04-13
5,Motorcycle Racing,2025-04-14
5,Wrestling,2025-04-15
5,Karate,2025-04-16
5,Trapeze,2025-04-17
5,Dance,2025-04-20
5,Sailing,2025-04-21
5,Karate,2025-04-22
5,Roller Skating,2025-04-23
5,Dodgeball,2025-04-24
5,Calisthenics,2025-04-25
5,Bungee Jumping,2025-04-26
5,Polo,2025-04-27
5,Surfing,2025-04-28
5,Running,2025-04-30
5,Archery,2025-05-05
5,Table Tennis,2025-05-06
5,Grappling,2025-05-07
5,Hammer Throw,2025-05-10
5,Boules,2025-05-11
5,Rugby,2025-05-13
5,Chess,2025-05-15
5,Lacrosse,2025-05-16
5,Sumo,2025-05-18
5,Boomerang,2025-05-19
5,Karate,2025-05-20
5,Dance,2025-05-22
5,Golf,2025-05-24
5,Horseback Riding,2025-05-27
5,Grappling,2025-05-28
5,Parkour,2025-05-29
5,Ice Skating,2025-05-30
5,Longball,2025-05-31
6,Horseback Riding,2025-03-04
6,Judo,2025-03-14
6,Hockey,2025-03-19
6,Aerial Silk,2025-05-22
6,Scuba Diving,2025-05-27
7,Judo,2025-03-02
7,Hockey,2025-03-04
7,Ice Skating,2025-03-05
7,Scuba Diving,2025-03-06
7,Boomerang,2025-03-07
7,Frisbee,2025-03-09
7,Baseball,2025-03-11
7,Dodgeball,2025-03-13
7,Dodgeball,2025-03-14
7,Tennis,2025-03-15
7,Jiu-Jitsu,2025-03-18
7,Skydiving,2025-03-23
7,Parkour,2025-03-27
7,Sumo,2025-03-28
7,Table Tennis,2025-03-29
7,Gymnastics,2025-04-01
7,Kayaking,2025-04-10
7,Disc Sports,2025-04-14
7,Chess,2025-04-15
7,Javelin,2025-04-17
7,Tag Games,2025-04-19
7,Roller Skating,2025-04-21
7,Kite Sports,2025-04-22
7,Tag Games,2025-04-26
7,Kayaking,2025-04-27
7,Roller Skating,2025-05-02
7,Motorcycle Racing,2025-05-03
7,Wrestling,2025-05-06
7,Motorcycle Racing,2025-05-07
7,Snowboarding,2025-05-09
7,Weightlifting,2025-05-10
7,Walking,2025-05-11
7,Bungee Jumping,2025-05-14
7,Gymnastics,2025-05-15
7,Football Tennis,2025-05-17
7,Basketball,2025-05-18
7,Paintball,2025-05-21
7,Polo,2025-05-23
7,Surfing,2025-05-24
7,Bowling,2025-05-25
7,Taekwondo,2025-05-27
7,Paragliding,2025-05-28
7,Rock Climbing,2025-05-30
7,Trampolining,2025-05-31
8,Boxing,2025-03-01
8,Rugby,2025-03-02
8,Rodeo,2025-03-03
8,Grappling,2025-03-04
8,Running,2025-03-05
8,Badminton,2025-03-06
8,Gliding,2025-03-07
8,Lacrosse,2025-03-08
8,Snowboarding,2025-03-09
8,Gliding,2025-03-10
8,Parkour,2025-03-11
8,Tennis,2025-03-12
8,Paragliding,2025-03-13
8,Disc Sports,2025-03-14
8,Aerobatics,2025-03-15
8,Taekwondo,2025-03-16
8,Gliding,2025-03-17
8,Taekwondo,2025-03-18
8,Kite Sports,2025-03-19
8,Walking,2025-03-20
8,Snowboarding,2025-03-21
8,Yoga,2025-03-22
